,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
14,15,Pink Floyd,['Pink Floyd'],Wish You Were Here,"24,999","18,164,009",chords,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-chords-44555,https://www.ultimate-guitar.com/artist/pink_floyd_684,5.0
15,16,Metallica,['Metallica'],Nothing Else Matters,"4,833","18,080,472",tab,https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-tabs-8519,https://www.ultimate-guitar.com/artist/metallica_954,4.5
16,17,Goo Goo Dolls,['Goo Goo Dolls'],Iris (ver 4),"9,404","17,074,303",chords,https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/iris-chords-54512,https://www.ultimate-guitar.com/artist/goo_goo_dolls_1375,5.0
17,18,Plain White T's,"[""Plain White T's""]",Airplane,746,"16,906,534",tab,https://tabs.ultimate-guitar.com/tab/plain-white-ts/airplane-tabs-1026549,https://www.ultimate-guitar.com/artist/plain_white_ts_3257,4.5
18,19,Eagles,['Eagles'],Hotel California,"32,920","16,594,317",chords,https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords-46190,https://www.ultimate-guitar.com/artist/eagles_1509,5.0
19,20,Coldplay,['Coldplay'],The Scientist (ver 4),"12,953","16,408,412",chords,https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-180849,https://www.ultimate-guitar.com/artist/coldplay_1782,5.0
20,21,Adele,['Adele'],Someone Like You (ver 2),"4,210","16,214,587",chords,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006040,https://www.ultimate-guitar.com/artist/adele_20519,5.0
21,22,Taylor Swift,['Taylor Swift'],Love Story,"11,796","14,917,967",chords,https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords-730809,https://www.ultimate-guitar.com/artist/taylor_swift_16027,5.0
22,23,Coldplay,['Coldplay'],Viva La Vida,"18,606","14,687,558",chords,https://tabs.ultimate-guitar.com/tab/coldplay/viva-la-vida-chords-675427,https://www.ultimate-guitar.com/artist/coldplay_1782,5.0
23,24,Oasis,['Oasis'],Wonderwall (ver 3),"11,675","14,503,125",chords,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-39144,https://www.ultimate-guitar.com/artist/oasis_734,5.0
24,25,Oasis,['Oasis'],Wonderwall (ver 2),"9,246","14,151,856",chords,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596,https://www.ultimate-guitar.com/artist/oasis_734,5.0
25,26,Eagles,['Eagles'],Hotel California (ver 2),"2,748","13,492,826",tab,https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-tabs-14288,https://www.ultimate-guitar.com/artist/eagles_1509,4.5
26,27,Paramore,['Paramore'],The Only Exception,"10,663","13,459,841",chords,https://tabs.ultimate-guitar.com/tab/paramore/the-only-exception-chords-874862,https://www.ultimate-guitar.com/artist/paramore_11926,5.0
27,28,Ed Sheeran,['Ed Sheeran'],I See Fire (ver 3),"12,520","13,309,246",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/i-see-fire-chords-1430599,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
28,29,The Animals,['The Animals'],House Of The Rising Sun,"16,306","13,196,385",chords,https://tabs.ultimate-guitar.com/tab/the-animals/house-of-the-rising-sun-chords-18688,https://www.ultimate-guitar.com/artist/the_animals_2019,5.0
